Code,Nama Barang,Merk,Jumlah,Total,Status,Sumber,Lokasi,Lantai,Satuan,Foto Real,Keterangan
,Rak Krisbow Besi Putih,,1,,Baik,,R. Tamu,2,Unit,,
,Dispenser Philips,,1,1,Baik,,R. Tamu,2,Unit,,
,Laci Kecil,,1,1,Baik,,R. Tamu,2,Unit,,
,Alat AREC,,1,1,Baik,,R. Tamu,2,Unit,,
,Alat FIREBALL,,1,1,Baik,,R. Tamu,2,Unit,,
,Stand Jersey,,1,2,Baik,,R. Tamu,2,Unit,,
,Stand Jersey,,1,,Baik,,R. Tamu,2,Unit,,
,Manekin Jersey Slompn,,1,1,Baik,,R. Tamu,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Kursi Kantor Sandaran Tangan Biasa,,1,2,Baik,,R. Sekretaris,2,Unit,,
,Kursi Kantor Sandaran Tangan Biasa,,1,,Baik,,R. Sekretaris,2,Unit,,
,Kursi Kantor Sandaran Tangan Elite,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Meja Kantor,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Rak Putih Besar Susun 4,,1,1,Baik,,R. Sekretaris,2,Pcs,,
,Rak Putih Kecil Susun 3,,1,1,Baik,,R. Sekretaris,2,Pcs,,
,Rak Sepatu 1 Coklat Stora Susun,,1,1,Baik,,R. Sekretaris,2,Pcs,,
,Rak Sepatu 2 Coklat Stora Susun,,1,1,Baik,,R. Sekretaris,2,Pcs,,
,Rak Sepatu 3 Coklat Stora Susun,,1,1,Baik,,R. Sekretaris,2,Pcs,,
,Rak Sepatu Coklat Stora Susun,,1,1,Baik,,R. Sekretaris,2,Pcs,,
,Rak Sepatu Coklat Stora Susun,,1,1,Baik,,R. Sekretaris,2,Pcs,,
,Rak Sepatu Coklat Stora Susun,,1,1,Baik,,R. Sekretaris,2,Pcs,,
,Rak Sepatu Putih,,1,3,Baik,,R. Sekretaris,2,Unit,,
,Rak Sepatu Putih,,1,,Baik,,R. Sekretaris,2,Unit,,
,Rak Sepatu Putih,,1,,Baik,,R. Sekretaris,2,Unit,,
,Lemari Baju Portable,,1,2,Baik,,R. Sekretaris,2,Unit,,
,Lemari Baju Portable,,1,,Baik,,R. Sekretaris,2,Unit,,
,Lemari Kaca Kecil,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Wattbike,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Lemari Kecil Susun 4,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Plate Chrono Jump,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Stand Laptop,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Sepeda Lipat DAHON,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Kipas Angin Kecil Berdiri,,1,1,Baik,,R. Sekretaris,2,Unit,,
,Container Box Abu-Abu,,1,2,Baik,,R. Sekretaris,2,Unit,,
,Container Box Abu-Abu,,1,,Baik,,R. Sekretaris,2,Unit,,
,,,,,,,,,,,
,AC Split,,1,1,Baik,,R. Gamers,2,Unit,,
,TV LG Sedang,,1,1,Baik,,R. Gamers,2,Unit,,
,Stand tablet,,1,1,Baik,,R. Gamers,2,Unit,,
,Laptop LOQ Lenovo,,1,1,Baik,,R. Gamers,2,Unit,,
,Stand TV,,1,1,Baik,,R. Gamers,2,Unit,,
,Nintendo Switch,,1,1,Baik,,R. Gamers,2,Unit,,
,Wahoo,,1,1,Baik,,R. Gamers,2,Unit,,
,X-Banner SERC,,1,1,Baik,,R. Gamers,2,Unit,,
,,,,,,,,,,,
,Lemari Besi Abu Muda,,1,1,Baik,,R. Workshop,2,Unit,,
,Lemari Besi Abu Tua,,1,1,Baik,,R. Workshop,2,Unit,,
,Meja Kantor Pendek,,1,4,Baik,,R. Workshop,2,Unit,,
,Meja Kantor Pendek,,1,,Baik,,R. Workshop,2,Unit,,
,Meja Kantor Pendek,,1,,Baik,,R. Workshop,2,Unit,,
,Meja Kantor Pendek,,1,,Baik,,R. Workshop,2,Unit,,
,Meja Kantor Panjang,,1,2,Baik,,R. Workshop,2,Unit,,
,Meja Kantor Panjang,,1,,Baik,,R. Workshop,2,Unit,,
,Kursi Kantor Hitam Sandaran Tangan,,1,6,Baik,,R. Workshop,2,Unit,,
,Kursi Kantor Hitam Sandaran Tangan,,1,,Baik,,R. Workshop,2,Unit,,
